Name of Organization,Street Address,City,Zip Code,Phone,Secondary Phone,Website,PetFinder,Latitude,Longitude
City of Aurora Animal Control & Care Facility,600 South River Street,Aurora,60506,(630) 256-3630,,https://www.aurora-il.org/animalcontrol/adoption.php,https://www.petfinder.com/pet-search?shelterid=IL36,41.766029,-88.35254
"Hope Pet Rescue, Inc.",P.O. Box 32,Barrington,60011-0032,(847) 778-4349,,http://www.hopepetrescue.com/,https://www.petfinder.com/pet-search?shelter_id=IL643,42.322814,-87.610053
Illinois Doberman Rescue Plus,P.O. Box 435,Barrington,60011-0435,(847) 277-1082 ,,www.ildoberescue.com,https://www.petfinder.com/pet-search?shelterid=IL95,42.322814,-87.610053
Wish Bone Rescue,1303 Morrissey Drive,Bloomington,61701,(309) 808-4477,,http://www.wishbonecaninerescue.org/,http://awos.petfinder.com/shelters/IL542.html,40.477286,-88.99592
Humane Haven Animal Shelter,P.O. Box 1070,Bolingbrook,60440,(630) 378-4208,,www.hhas.org,https://www.petfinder.com/pet-search?shelterid=IL93,41.703097,-88.07462
Henry County Animal Control,P.O. Box 153 119 Southeast Road,Cambridge,61238,(309) 937-2266 ,,http://www.henrycty.com/Departments/AnimalControl/tabid/84/Default.aspx,https://www.petfinder.com/pet-search?animal_type=Dog&shelterid=IL33,41.286797,-90.17486
Macoupin County Animal Control,21486 Route 4,Carlinville,62626,(217) 854-4024 ,,http://www.macoupincountyil.gov/animal.htm,https://www.petfinder.com/pet-search?shelter_id=IL695,39.280289,-89.8757
Clinton County Animal Control Shelter,17833 County Farm Road,Carlyle,62231,(618) 594-4483 ,,https://www.clintonco.illinois.gov/animal_control.htm,https://www.petfinder.com/pet-search?shelter_id=IL563,38.623384,-89.36368
Greyhounds Only Adoption and Rescue,335 E. Geneva Rd. #173,Carol Stream,60188,(847) 421-9828,,www.greyhoundsonly.com ,,41.918578,-88.13688
A Lincoln SAR K9 German Shepherd Rescue Shelter,6445 Strode Road,Cantrall,62625,(217) 622-0622,,http://www.adoptapet.com/adoption_rescue/83751.html,http://www.adoptapet.com/adoption_rescue/83751.html,39.909732,-89.68831
Famous Fido Rescue and Adoption Allience,5430 N. Clark Street,Chicago,60640,(773) 907-0305,,www.famousfidorescue.com,"Dogs: http://www.famousfidorescue.com/FindAFriend.html
Cats: http://www.famousfidorescue.com/FindACatFriend.html",41.973181,-87.6665
City of Chicago Animal Care and Control,2741 S. Western Ave.,Chicago,60608,(312) 747-1406,,http://www.cityofchicago.org/city/en/depts/cacc.html,"Dogs: https://www.petfinder.com/pet-search?animal=Dog&shelterid=IL132
Cats: https://www.petfinder.com/pet-search?animal=cat&shelterid=IL132",41.850532,-87.6699
Chicago Canine Rescue Foundation,5727 N Elson,Chicago,60630,(773) 697-8848,,www.chicagocaninerescue.com,https://www.petfinder.com/pet-search?shelter_id=IL146,41.971044,-87.75869
Anti-Cruelty Society,157 West Grand Avenue,Chicago,60654,(312) 644-8338,,http://anticruelty.org/,"Dogs: http://anticruelty.org/adopt-a-new-companion/adopt-a-dog/
Cats: http://anticruelty.org/adopt-a-new-companion/adopt-a-cat/
Other Small Animals: http://anticruelty.org/adopt-a-new-companion/otheranimals/",41.888627,-87.63538
Chicago Pet Rescue,P.O. Box 31946,Chicago,60631,(773) 218-3252,,www.chicagopetreescue.org,https://www.petfinder.com/pet-search?shelter_id=IL655,41.99623,-87.81091
Found Chicago,4180 North Rockwell Street,Chicago,60618,(773) 539-3880 ,,http://www.foundchicago.org/,https://www.petfinder.com/pet-search?shelter_id=IL617,41.945681,-87.7048
Friends of Chicago Animal Care & Control,6101 N. Sheridan Rd.,Chicago,60660,(773) 743-9000,,http://www.fcacc.org/,https://www.petfinder.com/pet-search?shelter_id=IL608,41.990631,-87.6667
PAWS Chicago,1997 North Clybourn Avenue,Chicago,60614,(773) 935-7297,,http://www.pawschicago.org/,https://www.petfinder.com/pet-search?shelter_id=IL72,41.922682,-87.65432
Red Door Animal Shelter,2410 West Lunt Avenue,Chicago,60645,(773) 764-2242,,http://www.reddoorshelter.org/,https://www.petfinder.com/pet-search?shelterid=IL89,42.008956,-87.69634
Touched By An Animal & Cats-Are-Purrsons-Too,P.O. Box 59067,Chicago,60659,(773) 728-6336,,http://www.touchedbyananimal.org/,https://www.petfinder.com/pet-search?shelterid=IL114,41.991381,-87.70378
Tree House Humane Society,1212 West Carmen Avenue,Chicago,60640,(773) 784-5488,,http://www.treehouseanimals.org/site/PageServer?pagename=home,http://www.treehouseanimals.org/site/PageServer?pagename=adopt_available_cats_seniors,41.973181,-87.6665
South Suburban Humane Society,1103 West End Avenue,Chicago Heights,60411,(708) 755-7387,,http://www.southsuburbanhumanesociety.org/,"Dogs: http://www.southsuburbanhumanesociety.org/?page_id=59#!adoptable-dogs/c22pw
Cats: http://www.southsuburbanhumanesociety.org/?page_id=59#!adoptable-cats/cxwd",41.511307,-87.6101
Central Illinois Small Animal Rescue (CISAR),29738 East 1400 North Road,Colfax,61728,"(309) 724-8241  
",,www.cisarshelter.com,,40.56944,-88.62727
Assisi Animal Foundation,P.O. Box 143,Crystal Lake,60039-0143,(815) 455-9411,,www.assisi.org,http://assisi.org/availablepets.html,42.324761,-88.452481
On Angel’s Wings Inc.,"5186 Northwest Highway, Suite 133",Crystal Lake,60014,(815) 356-8170,,http://www.onangelswingsinc.org/,https://www.petfinder.com/pet-search?shelter_id=IL511,42.226623,-88.33066
Vermilion County Animal Shelter and Department of Animal Regulation,14775 Catlin-Tilton Road,Danville,61834,(217) 431-2660 ,,http://www.co.vermilion.il.us/animal.htm,https://www.petfinder.com/pet-search?shelterid=IL280,40.175463,-87.6124
TAILS Humane Society,2250 Barber Greene Road,DeKalb,60115,(815) 758-2457,,http://www.tailshumanesociety.org/,https://www.petfinder.com/pet-search?shelterid=IL241,41.924127,-88.74617
Granny Rose Animal Shelter (formerly Tri-County Animal Protection League) ,613 River Lane,Dixon,61021,(815) 288-7387,,http://www.grannyrose.org/,https://www.petfinder.com/pet-search?shelterid=IL142,41.843702,-89.47636
West Suburban Humane Shelter,1901 Ogden Avenue,Downers Grove,60515,(630) 960-9600,,http://www.wshs-dg.org/,https://www.petfinder.com/pet-search?shelter_id=IL35,41.80348,-88.01827
